tod_bin,hour,relative_spread,spread_tilde,r_t_winsorized,event_level_ofi,ofi_depth_scaled,abs_ofi_tilde,depth,depth_tilde,RV_t,rv_tilde,number_of_trades,trade_volume
44400,12.3333333333333,0.00023549138337372,8.18699946546164e-17,0.048378183030526,-276.209677419355,2.89180021520262,2.59768311998316e-17,4814.3747311828,1.07727447034596e-16,288.570122109058,-4.79783476985861e-17,36.2063440860215,8564.62376344086
44700,12.4166666666667,0.000234384565858332,1.83891134100279e-16,-0.0162427825541113,-2375.92182795699,-2.13751619761796,-1.68085378351852e-17,4725.86301075269,8.11656596174886e-17,288.817351263262,-4.32181172569809e-17,35.740752688172,8500.55043010753
45000,12.5,0.000235320249786433,1.14645449645029e-16,0.0498446101861937,-1025.28741935484,0.154736435232127,-2.53142787496521e-17,5267.62247311828,4.94705829467382e-17,323.447763012375,-4.19258415320812e-17,40.4064516129032,10355.072688172
45300,12.5833333333333,0.000238686635555948,-2.57828406175718e-17,-0.133955110886041,-3431.41989247312,-6.28565207576596,-1.41762348574449e-17,5068.39688172043,2.07985883593378e-17,330.366768333355,-2.69363384643934e-17,35.8689247311828,9733.21376344086
45600,12.6666666666667,0.000238398927501861,2.28156800501462e-16,-0.178012106537531,-2844.76677419355,-5.41526424486361,2.15777216882793e-17,5376.33096774194,3.0071524720761e-17,302.873018517085,-3.47243142244992e-17,36.0813978494624,10627.7844086022
45900,12.75,0.000235357322402659,2.22808629372085e-16,0.316536906090969,3104.7423655914,3.63814289159955,-6.47630097698008e-18,5420.83505376344,2.00198280892085e-17,294.751443434418,3.28530512233165e-17,35.4134408602151,9706.61344086022
46200,12.8333333333333,0.000233264084598974,-1.71117600376097e-16,-0.0106851234964392,-422.536989247312,-0.312318140958365,2.4705446768406e-17,6032.5888172043,8.65257686288509e-17,317.501426367121,5.84568236111101e-17,34.9041935483871,8864.89623655914
46500,12.9166666666667,0.000234083411204349,-2.64782222432107e-17,0.032976608451305,754.194193548387,0.121243557853697,7.33881295041199e-18,5302.81956989247,-1.17467266499285e-16,272.625240303095,-7.55757463779109e-17,36.315376344086,9492.02462365592
46800,13,0.000232090864188538,1.30110975756877e-16,0.17499053636929,945.815053763441,-0.428668838171284,2.79943332553333e-18,5225.89086021505,1.00636345135377e-17,325.149711852644,-6.8905454818671e-17,41.789247311828,9738.99602150538
47100,13.0833333333333,0.000228648521848729,-1.8343749458484e-16,-0.30087865477646,-1148.78,1.54953007826434,1.05202584994722e-17,4333.18612903226,-1.34002725284058e-17,303.82120107271,-4.07398875686123e-17,37.0254838709677,8882.5840860215
