replication,covariate,entry_to_stressed_AME,exit_to_calm_AME,convergence_code
33,close_dummy,-0.0182851603327461,-0.00666336205839838,0
34,depth_tilde,-0.0503264616437541,0.041400997083572,0
34,rv_tilde,-0.0176745441872065,-0.0564119184784151,0
34,abs_ofi_tilde,-0.00434296050711048,-0.028859852719895,0
34,open_dummy,-0.0241250469551683,-0.0199073320515894,0
34,close_dummy,-0.0257648188597965,-0.0283171823672391,0
35,depth_tilde,-0.048920646054359,0.042154812669878,0
35,rv_tilde,-0.0196587405161493,-0.0518995866836633,0
35,abs_ofi_tilde,-0.00514114488094137,-0.0372575529535697,0
35,open_dummy,-0.0268150405490219,-0.0236068696454716,0
35,close_dummy,-0.0141611370205615,-0.0329798467226318,0
36,depth_tilde,-0.0517547081525237,0.0416292484301679,0
36,rv_tilde,-0.0226948568938155,-0.0432689485385247,0
36,abs_ofi_tilde,-0.00265515714192423,-0.0257685686428109,0
36,open_dummy,-0.0169276456118528,0.00560871729996524,0
36,close_dummy,-0.025763700288458,-0.039022828981843,0
37,depth_tilde,-0.0504951811181884,0.0413757698938916,0
37,rv_tilde,-0.0160490675591839,-0.0554262729021477,0
37,abs_ofi_tilde,-0.00200672385092863,-0.0330967248956361,0
37,open_dummy,-0.0378953380663551,-0.0163508044296741,0
37,close_dummy,-0.0140637250655815,-0.0433973731544321,0
38,depth_tilde,-0.0496311306000239,0.0424575845711613,0
38,rv_tilde,-0.0222296809892672,-0.053048285279393,0
38,abs_ofi_tilde,-0.00329235835848064,-0.0360588226411585,0
38,open_dummy,-0.0499918380746433,0.0169142631917738,0
38,close_dummy,-0.0268935621218778,-0.0327043351588544,0
39,depth_tilde,-0.0498312407448548,0.0412972364951784,0
39,rv_tilde,-0.0223284792653652,-0.0573103941956074,0
39,abs_ofi_tilde,0.00223005655117736,-0.0258472105441185,0
39,open_dummy,-0.0285901373910694,-0.00771538952281689,0
39,close_dummy,-0.0127686639985835,-0.0219855802662478,0
40,depth_tilde,-0.0485187808566741,0.045886657535569,0
40,rv_tilde,-0.0161219040162091,-0.0629001971113868,0
40,abs_ofi_tilde,0.0028111787343994,-0.0348435184968487,0
40,open_dummy,-0.0533488953146814,-0.0177222391956512,0
40,close_dummy,-0.0145096003511468,-0.039773326879096,0
41,depth_tilde,-0.0492058922551741,0.042202993263704,0
41,rv_tilde,-0.0186361294631803,-0.0589580755971443,0
41,abs_ofi_tilde,-0.00314316366796546,-0.039030456855393,0
41,open_dummy,-0.0349340951968707,-0.0134669143002156,0
41,close_dummy,-0.0149792568228515,-0.0374531049498926,0
42,depth_tilde,-0.0510356870393341,0.0446837719142389,0
42,rv_tilde,-0.0183987888081233,-0.0469127914494573,0
42,abs_ofi_tilde,0.00102173292077205,-0.0324167367547501,0
42,open_dummy,-0.0352415957654023,0.00438456592948468,0
42,close_dummy,-0.0214127416658577,-0.0359434269877732,0
43,depth_tilde,-0.0510342808011258,0.0399261862826373,0
43,rv_tilde,-0.0147249633187859,-0.0492327396621579,0
43,abs_ofi_tilde,-0.00223120863795354,-0.0406072238870389,0
43,open_dummy,-0.0351681219567926,-0.00943538857100529,0
43,close_dummy,-0.0200678782287772,-0.0467035865060005,0
44,depth_tilde,-0.0504793819547983,0.0420953532827419,0
44,rv_tilde,-0.0193324261383163,-0.057037800555957,0
44,abs_ofi_tilde,0.00370461087170851,-0.0167537758724088,0
44,open_dummy,-0.0174700757070356,-0.00877975207314962,0
44,close_dummy,-0.0155916019048273,-0.0216973526697412,0
45,depth_tilde,-0.051593887614445,0.0414911033563899,0
45,rv_tilde,-0.0213879223492401,-0.0567038054591992,0
45,abs_ofi_tilde,-0.000973743116686324,-0.0361697771882462,0
45,open_dummy,-0.035427061095575,-0.00793064315557014,0
45,close_dummy,-0.0194949399392091,-0.0325680222797824,0
46,depth_tilde,-0.0508465703378987,0.0435785806667716,0
46,rv_tilde,-0.0162589074197004,-0.0539213414395636,0
46,abs_ofi_tilde,-0.000887779103085409,-0.0368585132527821,0
46,open_dummy,-0.0342686320994264,-0.00833967012553491,0
46,close_dummy,-0.025422337575624,-0.0204273145122353,0
47,depth_tilde,-0.0500096048176847,0.0425105369279354,0
47,rv_tilde,-0.0178923263844465,-0.0526448306036992,0
47,abs_ofi_tilde,5.91558314505456e-05,-0.0415620693160169,0
47,open_dummy,-0.0230174836614614,-0.0150663450233222,0
47,close_dummy,-0.0260723212124091,-0.0329304765841271,0
48,depth_tilde,-0.0504125233783896,0.04317305675241,0
48,rv_tilde,-0.0174347870937661,-0.0542646390598858,0
48,abs_ofi_tilde,-0.00167064015907806,-0.0386440573212761,0
48,open_dummy,-0.0462977409142521,0.00169535471664269,0
48,close_dummy,-0.0348242666707994,-0.0116942547862417,0
49,depth_tilde,-0.0504422353279987,0.0423244145307047,0
49,rv_tilde,-0.0184304763718393,-0.05274868015953,0
49,abs_ofi_tilde,-0.0045678930159438,-0.0485086429543072,0
49,open_dummy,-0.0431244753030172,-0.0037309100508049,0
49,close_dummy,-0.030767302957294,-0.0110296061391455,0
50,depth_tilde,-0.04917307460698,0.045064247799568,0
50,rv_tilde,-0.0177483537396353,-0.0604467274327405,0
50,abs_ofi_tilde,0.000574111631698077,-0.0369408619015338,0
50,open_dummy,-0.0303932030765411,0.000476165633753709,0
50,close_dummy,-0.0292847490010554,-0.00945795022474212,0
